Réf.,Libellé,Produit,Description,Quantité,Id de ligne,Produit,Nomenclature BOM,Description,Quantité,Poste de travail par défaut,Unité
BOM2310-0011,Kit Tiroir Longueur 350 Hauteur 3U,2004,,1.00000000,58,1961,,,1.00000000,,
BOM2310-0011,Kit Tiroir Longueur 350 Hauteur 3U,2004,,1.00000000,216,4972,,,4.00000000,,
BOM2310-0011,Kit Tiroir Longueur 350 Hauteur 3U,2004,,1.00000000,591,5372,,,0.08330000,0,32
BOM2310-0012,Kit Tiroir Longueur 350 Hauteur 6U,2005,,1.00000000,60,1625,,,1.00000000,,
BOM2310-0012,Kit Tiroir Longueur 350 Hauteur 6U,2005,,1.00000000,62,1942,,,1.00000000,,
BOM2310-0012,Kit Tiroir Longueur 350 Hauteur 6U,2005,,1.00000000,63,1944,,,1.00000000,,
BOM2310-0012,Kit Tiroir Longueur 350 Hauteur 6U,2005,,1.00000000,64,1959,,,1.00000000,,
BOM2310-0012,Kit Tiroir Longueur 350 Hauteur 6U,2005,,1.00000000,65,1962,,,1.00000000,,
BOM2310-0012,Kit Tiroir Longueur 350 Hauteur 6U,2005,,1.00000000,217,4972,,,4.00000000,,
BOM2310-0012,Kit Tiroir Longueur 350 Hauteur 6U,2005,,1.00000000,592,5372,,,0.08330000,0,32
BOM2310-0016,Kit Quincaillerie 1 Coulissant,2015,,1.00000000,72,1797,,,6.00000000,,
BOM2310-0016,Kit Quincaillerie 1 Coulissant,2015,,1.00000000,303,5372,,,0.03000000,,32
BOM2310-0016,Kit Quincaillerie 1 Coulissant,2015,,1.00000000,384,5553,,,1.00000000,,
BOM2310-0020,Kit Quincaillerie Plan de Travail,5182,,1.00000000,84,1788,,,12.00000000,,
BOM2310-0020,Kit Quincaillerie Plan de Travail,5182,,1.00000000,85,4930,,,6.00000000,,
BOM2310-0020,Kit Quincaillerie Plan de Travail,5182,,1.00000000,306,5372,,,0.04000000,,32
BOM2310-0020,Kit Quincaillerie Plan de Travail,5182,,1.00000000,388,5554,,,1.00000000,,
BOM2310-0020,Kit Quincaillerie Plan de Travail,5182,,1.00000000,389,5553,,,1.00000000,,
BOM2310-0021,Kit Quincaillerie Imposte Frigo,5222,,1.00000000,86,1797,,,8.00000000,,
BOM2310-0021,Kit Quincaillerie Imposte Frigo,5222,,1.00000000,87,1904,,,4.00000000,,
BOM2310-0021,Kit Quincaillerie Imposte Frigo,5222,,1.00000000,88,5074,,,8.00000000,,
BOM2310-0021,Kit Quincaillerie Imposte Frigo,5222,,1.00000000,308,5372,,,0.05000000,,32
BOM2310-0021,Kit Quincaillerie Imposte Frigo,5222,,1.00000000,390,5553,,,1.00000000,,
BOM2310-0021,Kit Quincaillerie Imposte Frigo,5222,,1.00000000,391,5554,,,1.00000000,,
BOM2310-0022,Kit Quincaillerie pour table SLG,5650,,1.00000000,91,1788,,,8.00000000,,
BOM2310-0022,Kit Quincaillerie pour table SLG,5650,,1.00000000,92,5074,,,7.00000000,,
BOM2310-0022,Kit Quincaillerie pour table SLG,5650,,1.00000000,93,5315,,,4.00000000,,
BOM2310-0022,Kit Quincaillerie pour table SLG,5650,,1.00000000,309,5372,,,0.05000000,,32
BOM2310-0022,Kit Quincaillerie pour table SLG,5650,,1.00000000,797,5554,,,1.00000000,0,
BOM2310-0022,Kit Quincaillerie pour table SLG,5650,,1.00000000,798,7931,,,1.00000000,0,28
BOM2310-0024,Kit Quincaillerie Fond de meuble SLT,5684,,1.00000000,97,5315,,,16.00000000,,
BOM2310-0024,Kit Quincaillerie Fond de meuble SLT,5684,,1.00000000,311,5372,,,0.03000000,,32
BOM2310-0024,Kit Quincaillerie Fond de meuble SLT,5684,,1.00000000,395,5553,,,1.00000000,,
BOM2310-0025,Kit Quincaillerie pour Porte 36U,5132,,1.00000000,98,1628,,,2.00000000,,
BOM2310-0025,Kit Quincaillerie pour Porte 36U,5132,,1.00000000,99,1638,,,2.00000000,,
BOM2310-0025,Kit Quincaillerie pour Porte 36U,5132,,1.00000000,100,1639,,,2.00000000,,
BOM2310-0025,Kit Quincaillerie pour Porte 36U,5132,,1.00000000,101,1797,,,4.00000000,,
BOM2310-0025,Kit Quincaillerie pour Porte 36U,5132,,1.00000000,102,5323,,,2.00000000,,
BOM2310-0025,Kit Quincaillerie pour Porte 36U,5132,,1.00000000,312,5372,,,0.06000000,,32
BOM2310-0025,Kit Quincaillerie pour Porte 36U,5132,,1.00000000,396,5553,,,1.00000000,,
BOM2310-0025,Kit Quincaillerie pour Porte 36U,5132,,1.00000000,397,6207,,,1.00000000,,
BOM2310-0026,Kit Quincaillerie pour Table UAV,5653,,1.00000000,103,1629,,,12.00000000,,
BOM2310-0026,Kit Quincaillerie pour Table UAV,5653,,1.00000000,313,5372,,,0.03000000,,32
BOM2310-0027,Kit Quincaillerie Table pour Lit Peigne,5655,,1.00000000,107,1629,,,12.00000000,,
BOM2310-0027,Kit Quincaillerie Table pour Lit Peigne,5655,,1.00000000,110,5074,,,5.00000000,,
BOM2310-0027,Kit Quincaillerie Table pour Lit Peigne,5655,,1.00000000,314,5372,,,0.04000000,,32
BOM2310-0031,Kit Quincaillerie pour Coffre SCA,5670,,1.00000000,123,1639,,,10.00000000,,
BOM2310-0031,Kit Quincaillerie pour Coffre SCA,5670,,1.00000000,124,1649,,,10.00000000,,
BOM2310-0031,Kit Quincaillerie pour Coffre SCA,5670,,1.00000000,318,5372,,,0.04000000,,32
BOM2310-0031,Kit Quincaillerie pour Coffre SCA,5670,,1.00000000,403,6207,,,1.00000000,,
BOM2310-0032,Kit Quincaillerie pour Table SCA,5669,,1.00000000,125,1629,,,24.00000000,,
BOM2310-0032,Kit Quincaillerie pour Table SCA,5669,,1.00000000,126,1789,,,1.00000000,,
BOM2310-0032,Kit Quincaillerie pour Table SCA,5669,,1.00000000,127,1790,,,1.00000000,,
BOM2310-0032,Kit Quincaillerie pour Table SCA,5669,,1.00000000,319,5372,,,0.06000000,,32
BOM2310-0032,Kit Quincaillerie pour Table SCA,5669,,1.00000000,404,5553,,,1.00000000,,
BOM2310-0033,Kit Quincaillerie fixation SCA,5668,,1.00000000,133,5315,,,14.00000000,,
BOM2310-0033,Kit Quincaillerie fixation SCA,5668,,1.00000000,320,5372,,,0.05000000,0,32
BOM2310-0033,Kit Quincaillerie fixation SCA,5668,,1.00000000,851,1790,,,8.00000000,0,
BOM2310-0033,Kit Quincaillerie fixation SCA,5668,,1.00000000,852,1789,,,8.00000000,0,
BOM2310-0033,Kit Quincaillerie fixation SCA,5668,,1.00000000,853,6999,,,1.00000000,0,
BOM2310-0033,Kit Quincaillerie fixation SCA,5668,,1.00000000,854,7002,,,1.00000000,0,
BOM2310-0033,Kit Quincaillerie fixation SCA,5668,,1.00000000,855,5554,,,1.00000000,0,
BOM2310-0034,Kit quincaillerie pour meuble cabine approfondie,5672,,1.00000000,682,5670,33,,1.00000000,0,
BOM2310-0034,Kit quincaillerie pour meuble cabine approfondie,5672,,1.00000000,683,5669,34,,1.00000000,0,
BOM2310-0034,Kit quincaillerie pour meuble cabine approfondie,5672,,1.00000000,684,5668,35,,1.00000000,0,
